20,54
0,-26.0922,0,16.63921,
1,-21.97912,1.907349E-06,4.443326,
2,-19.11124,0,-4.28958,
3,-16.76639,0,-11.64273,
4,-8.970733,0,-11.3925,
5,-10.96578,0,-3.87346,
6,-12.64351,0,3.979757,
7,-15.65886,0,17.88894,
8,-2.626855,0,18.18894,
9,-2.477995,0,4.520789,
10,-2.149661,0,-3.098104,
11,-1.642882,0,-11.60419,
12,5.387395,0,-11.41843,
13,5.071662,0,-3.553333,
14,5.685854,0,4.506042,
15,6.973125,0,18.49761,
16,20.13419,0,19.46748,
17,15.69209,0,3.707361,
18,14.0562,0,-3.918682,
19,12.43094,0,-11.09699,
0,1,
1,0,
1,2,
2,1,
2,3,
3,2,
3,4,
4,3,
4,5,
5,4,
6,7,
7,6,
7,0,
0,7,
1,6,
6,1,
2,5,
5,2,
5,10,
10,5,
10,13,
13,10,
13,12,
12,13,
12,11,
11,12,
11,10,
10,11,
10,9,
9,10,
9,6,
6,9,
4,11,
11,4,
13,18,
18,13,
18,17,
17,18,
17,14,
14,17,
14,9,
9,14,
9,8,
8,9,
8,15,
15,8,
15,16,
16,15,
16,17,
17,16,
18,19,
19,18,
19,12,
12,19,
